Position_X,Position_Y,Position_Z,handle_start_x,handle_start_y,handle_start_z,handle_end_x,handle_end_y,handle_end_z,corner_edge_idx,e0,e1,e2,e3,src_face_index,patch_uv_X,patch_uv_Y,patch_uv_Z,UVMap_X,UVMap_Y,.uv_select_vert,.uv_select_edge,edge_is_forward,.select_vert,.select_edge,.select_poly,.uv_select_face,d0,d1,d2,d3
1.0,-1.0,1.0,0.1503170281648636,-0.1503170281648636,2.9802322387695312e-08,0.1503170281648636,-0.1503170281648636,0.3006340265274048,6,5,7,4,9,2,0.5,0.5,0.0,0.5833333730697632,0.7083333730697632,False,False,True,True,True,True,False,True,True,True,True
1.3006341457366943,-0.2810588479042053,1.3006341457366943,0.22547553479671478,0.0,4.470348358154297e-08,0.22547553479671478,0.0,0.4509510397911072,7,6,8,5,9,2,0.5,0.5,0.0,0.625,0.625,False,False,True,True,True,True,False,True,True,True,True
1.3006341457366943,0.2810588479042053,1.3006341457366943,0.22547553479671478,0.0,4.470348358154297e-08,0.22547553479671478,0.0,0.4509510397911072,7,6,8,5,9,2,0.5,0.5,0.0,0.625,0.625,False,False,True,True,True,True,False,True,True,True,True
1.0,1.0,1.0,0.1503170281648636,0.1503170281648636,-0.1503169685602188,0.1503170281648636,0.1503170281648636,0.4509510397911072,6,6,9,4,6,3,0.5,0.5,0.0,0.5833333730697632,0.5416666865348816,False,False,True,True,True,True,False,True,True,True,True
0.8794350028038025,-0.6993658542633057,1.3006341457366943,0.0,0.0,0.45095106959342957,-7.450580596923828e-09,0.0,0.45095106959342957,8,10,9,6,7,0,0.5,0.5,0.0,0.75,0.625,False,False,True,True,True,True,False,True,True,True,True
1.0538771152496338,-0.1066167950630188,1.6012682914733887,0.0,0.0,0.45095106959342957,-7.450580596923828e-09,0.0,0.45095106959342957,8,10,9,6,7,0,0.5,0.5,0.0,0.75,0.625,False,False,True,True,True,True,False,True,True,True,True
1.0538771152496338,0.10661673545837402,1.6012682914733887,0.0,0.0,0.45095106959342957,-7.450580596923828e-09,0.0,0.45095106959342957,8,10,9,6,7,0,0.5,0.5,0.0,0.75,0.625,False,False,True,True,True,True,False,True,True,True,True
0.8794350028038025,0.6993658542633057,1.3006341457366943,0.0,0.0,0.45095106959342957,-7.450580596923828e-09,0.0,0.45095106959342957,8,10,9,6,7,0,0.5,0.5,0.0,0.75,0.625,False,False,True,True,True,True,False,True,True,True,True
-0.8794352412223816,-0.6993658542633057,1.3006341457366943,0.0,0.0,0.45095106959342957,-7.450580596923828e-09,0.0,0.45095106959342957,8,10,9,6,7,0,0.5,0.5,0.0,0.75,0.625,False,False,True,True,True,True,False,True,True,True,True
-1.053877353668213,-0.1066167950630188,1.6012682914733887,0.0,0.0,0.45095106959342957,-7.450580596923828e-09,0.0,0.45095106959342957,8,10,9,6,7,0,0.5,0.5,0.0,0.75,0.625,False,False,True,True,True,True,False,True,True,True,True
